index,word,meaning
12912,penalto,"| penalte s. m. penaltu (ri-ma). (P) penalte, xikhatisonkulu, xikhatiso lexikulu (xi-svi)."
12913,penar,"1. v. t. a) (fazer sofrer) kuxanisa v. t.. b) (Moç.) (ter pena de) kutsetsa, kuputa, kutwela, kuhawukela v. t., kupenara v. t. (P). 2. v. i. (sofrer) kuxaniseka v. i.. 3. s. m. nxanisa (yi-ti)."
12914,pendão,s. m. mujeka (mu-mi).
12915,pendência,"s. f. a) (questão judicial, litígio) mhaka (yi-ti). b) (tempo durante o qual uma causa ou um recurso está pendente ou correndo) kulandziwa ka mhaka (ku)."
12916,pendente,"1. adj. a) (que pende) -á kulengalenga loc. adj.. b) (pendurado, suspenso) -á kuhayekiwa loc. adj.. c) (descaído) -á kudeba, -á kuwa loc. adj.. d) (inclinado) -á kubzekela, -á kuvoyama, -á kuhleyama loc. adj.. e) (que está para acontecer) -á kusuhi ni kuyendleka loc. adj.. f) (que está por decidir) -ngá kulandziweni loc. adj.. 2. s. m. (brinco) xingwavila, xigolwana (xi-svi)."
12917,pender,"1. v. t. a) (fazer descair) kubzekamisa, kubzeketa, kuvoyamisa v. caus.. b) (fazer descair, murchando (flores, frutos)) kukaxula v. t.. 2. v. i. a) (estar pendurado ou suspenso) kulengalenga, kucikinya v. i.. b) (inclinar-se, descair) kubzekama, kubzekela, kuvoyama v. i.. c) (ter tendência, propensão) kutsakela, kubzekamela, kukokela, kutalela v. t.. 3. v. pron. a) (encostar-se, apoiar-se) kutiseketela v. pron., khigela | khigela v. i.. b) (inclinar-se, descair) kubzekama, kubzekela, kuvoyama, kugaduka v. i."
12918,pendor,"s. m. (simpatia, inclinação) kutsakela, kubzekamela, kukokela, kutalela (ku), ntsakelo, mbzhekamelo (mu-mi)."
12919,pêndulo,s. m. xidewuli (xi-svi).
12920,pendurar,"1. v. t. kuhayeka v. t.. || [pendurar para secar]: kuyaneka v. t.. 2. v. pron. kutihayeka v. pron., kulengalenga, kucikinya v. i."
12921,penitência,"s. f. a) (arrependimento) kutilaya, kutisola (ku). b) (expiação da falta) kutikhupa (ku). c) (Rel.) (virtude cristã que leva ao arrependimento pelos próprios pecados, visto que constituem ofensa aos designios divinos) kuhundzuka (ku). d) (Rel.) (acto de expiação dos pecados, assumido por iniciativa pessoal, ou por indicação da Igreja ou de seus delegados) kuriha (ku), ndziho (mu-mi). e) (Rel.) (confissão dos pecados) kutivula, kutihlaya (ku)."
12922,penitenciar,"1. v. t. a) (impor penitência a) kukhatisa, kuba v. t.. 2. (expiar, pagar) kuriha v. t.. 2. v. pron. a) (castigar-se por culpa cometida, arrependendo-se) kutilaya, kutisola v. pron.. b) (fazer sacrifícios para expiação dos pecados) kuriha v. i."
12923,penitenciária,"s. f. (prisão) khotso, bohelo (ri-ma), jele (ri-ma). (1) jail, nkalavoso (yi-ti). (P) calabouço."
12924,penitente,"1. adj. 2 gen. a) (que se arrepende) -á kutilaya loc. adj.. b) (que faz penitência ou confissão de seus pecados) -á kutihlaya, -á kutivula, kutiyanakanya loc. adj.. 2. s. 2 gen. a) (pessoa que se arrepende) mutilayi (mu-va). b) (pessoa que faz penitência ou confissão dos pecados) mutihlaii, mutivuli (mu-va). c) (pessoa que acompanha procissões como penitente) mutikhupi; mutiyanakanyi (mu-va)."
12925,penoso,adj. -á kukarhata; -á kuvava; -á kutika loc. adj.
12926,pensamento,"s. m. mpimiso, muqavangu (mu-mi), miyehleketo, miyanakanyu (mi), mapimu (ma)."
12927,pensão,"s. f. a) (renda paga periodicamente a alguém; quantia paga pela educação e sustento de aluno em colégio interno) mphamu (mu-mi). b) (o valor pago ao aposentado) reforma (ri-ma). (P) reforma, penceni (yi-ti). (1) pension, male ya reforma (yi-ti). c) (Moç.) (pensão para a velhice, dada aos contratados para as minas da África do Sul) mudende (mu-mi). d) (pequeno hotel) vujelo ni vuyetlelo, vujelo ni bzetlelo (vu)."
12928,pensar I,"1. v. t. & i. kupimisa, kupima, kuyanakanya, kuyehleketa, kuqavanga v. t. & i.. 2. s. m. a) (pensamento, opinião) mapimisela, mavonela (ma). b) (tino) ngqhondho (yi-ti)."
12929,pensar II,"v. t. (pôr penso, pôr ligadura) kubandicha v. t. (1) bandage."
12930,pensativo,"adj. -á kukhomiwa hi miyehleketo, -á kuduú loc. adj."
12931,penso,s. m. (ligadura) bandichi (ri-ma). (1) bandage. || [penso higiénico]: tlhomo (ri-ma). (obsc.).
12932,pentagonal,adj. -á ntlhanu wa matlhelo loc. adj.
12933,pentágono,"s. m. (poligono de cinco lados) yinhlantlhanu (yi-ti), xinhlantlhanu (xi-svi)."
12934,pente I,"s. m. (porção anterior da pelve, que no adulto está recoberta de pêlos) xinene (xi-svi)."
12935,pente II,"s. m. a) (instrumento para alisar o cabelo) xifényo, xivhukuzu (xi-svi). b) (pente de balas) xifényo xá tinhlavhu (xi-svi)."
12936,pentear,"v. t. & i. kufenya, kuvhukuza v. t. & i."
12937,pentecostes,s. m. pentekoxta (ri-ma). (P).
12938,pentelho,s. m. (gross.) kaka (ri-ma). (gross.).
12939,penugem,"| pelugem s. f. vutsenga, vuvoya (vu)."
12940,penúltimo,adj. -á kurhangela -á makumu loc. adj.
12941,penúria,"s. f. vurhombe, vusveti, vusiwana (vu)."
12942,pepinal,s. m. nsimu ya marhakarhaka (yi-ma) (plural: masimu).
12943,pepino,"s. m. rhakarhaka (ri-ma), pepinu (ri-ma). (P)."
12944,pequenez,"s. f. a) (qualidade de ser pequeno) vutsongo, vutsanana (vu). b) (meninice) vutsongwana (vu)."
12945,pequenino,adj. -tsanana adj.
12946,pequeno,"1. adj. -tsóngó, -n'qáni adj. 2. s. m. (menino) ntsóngwana, mufána (mu-va)."
12947,pequeno-almoço,"s. m. xifíhlúlu xá mixo (xi-svi), matabíxu (ma). (P), hlangulanyó (ri-ma). (fam.) || [pequeno-almoço preparado especialmente para o marido]: musása (mu-mi)."
12948,peralta,"adj. & s. m. njinga, ngqhovi, nkwáyímána (yi-ti)."
12949,perante,prep. máhlwéni ká loc. prep.
12950,percalço,"s. m. xirhalánganya (xi-svi), mapháriyeta (ma)."
12951,perceber,"v. t. a) (entender) kutwá, kutwísísá v. t. b) (notar, ver) kuvóná, kuxíyá v. t."
12952,percepção,"s. f. kutwísísá (ku), ntwísíso (mu-mi)."
12953,percentagem,"s. f. xidzana (xi), persentáxji (ri-ma). (P)."
12954,percevejo,s. m. nséketi nsíkiti (yi-ti).
12955,percorrer,v. t. & i. kufámbá v. t. & i.
12956,percurso,s. m. mfámbú (mu-mi).
12957,percurtir,"v. t. a) (bater ou tocar fortemente em) kubá v. t. b) (repetir-se, reflectir-se (som, luz)) kungulumela v. i."
12958,percussão,s. f. kubá (ku).
12959,perda,"s. f. a) kuláhlá, kuláhlékélíwa (ku), kulúzá (ku). (1) lose. b) (diminuição) kupúmbéká (ku), mpúmbéko (mu-mi)."
12960,perdão,"s. m. (perdão por morte] (euf) rivalelo (ri), ntsétsélélo, nkhómélo (mu-mi)."
12961,perder,"v. t. kuláhlá v. t., kulúzá v. t. ( ) lose. [cf. abandonado]. || [perder o sabor]: (tornar-se insipido, como a cerveja) kuxaxa, kucácúká, kucángúká, kucwángúká v neutr. pass. || [perder valor]: kuchipa v. i. (1) cheap. || [perder o rasto. Diz-se dos cães]: kuduka v. i. || [perder tempo]: kurivateka v. neutr. pass. || [perder a pele]: kuyevuka v. neutr. pass. || [perder a cor]: kukúcúká v. i. || [perder alguém]: musíyiwa (mu-va)."
12962,perdição,"s. f. kuláhléká, kuhámbúká, kusómbólóka (ku), vuláhlékí, vusómbólóki (vu)."
12963,perdido,1. adj. (que se perdeu) -á kuláhlíwá; -á kuláhléká loc. adj. 2. s. m. (coisa perdida) xiláhliwá (xi-svi). || [perdidos e achados]: sviláhliwá ní svikumíwa [of. achado].
12964,perdiz,"s. f. n'hwarí, njénjélé (vi-ti). [espécie de perdiz grande]: cécérékungwa (yi-ti)."
12965,perdoador,"adj. & s. m. -á kúríváléla, -á kutsétsétsélelá loc. adj., murivaleli, mutsétséléli (mu-va)."
12966,perdoar,"v. t. kurivalela, kutséséléla, kukhómélá v. t."
12967,perdurar,"v. i. kutshámá, kusímámá, kuphikelela v. i."
12968,perecer,"v. i. kulova, kusúvá, kufá; kubola v. i."
12969,perecimento,"s. m. a) (falecimento) kufá (ku), rifú (ri-ma). b) (extinção) kusúvá, kulova, kunyámálála (ku)."
12970,perecível,"adj. 2 gen. -bólaka, -wónhékaka, -ngálóvaka, -ngányámálálaka loc. adj. Ex.: carne perecível nyama léyíbólaka. Ex.: costume perecível xihéna léxingányámálálaka."
12971,peregrinação,s. f. a) kufámba hí matíkó; kuya seni ní seni (ku). b) riyendzo ká ndhawú yá vukhóngelí (ri-ti).
12972,peregrinador,adj. & s. m. a) (aquele que vai em romaria por lugares religiosos) muyendzela ndháwú yá vukhóngelí (mu-va). b) (aquele que peregrina) mufámbí (mu-va).
12973,peregrinante,adj. 2 gen. & s. 2 gen. a) (aquele que peregrina por lugares religiosos) muyendzela ndháwú yá vukhóngelí (mu-va). b) (aquele que peregrina) mufámbí (mu-va).
12974,peregrinar,v. i. a) (viajar ou andar por terras distantes; correr por diferentes partes) kufámba hí matíkó; kuya seni ní seni v. i. b) (ir em romaria por lugares santos ou de devoção) kuyendza ká ndháwú yá vukhóngelí v. i.
12975,peregrino,"1. adj. a) (que peregrina) -á fámbáfámbaká, -á kuya seni ní seni loc. adj. b) (estranho, estrangeiro) -á kúta, -á le hándlé loc. adj. 2. s. m. a) (aquele que vai em romaria por lugares religiosos) muyendzela ndháwú yá vukhóngelí (mu-va). b) (aquele que viaja ou anda por terras distantes) mufámbí; mutséndzéléki (muva)."
12976,perene,"adj. -á kukálá mákúmu, -á nkálámákúmu loc. adj."
12977,perfeccionismo,s. m. vuxedzí (vu).
12978,perfeição,"s. f. kuhétíséka (ku), vuhétíséki (vu), hétíséko (ri), rixaladza, rinkahó (ri-ti)."
12979,perfeito,adj. -á kuhétíséka loc. adj.
12980,perfidia,"s. f. (traição) ximbeva (xi-svi), vuxengi, vuxísí (vu), vudarabáwu (vu). (P) aldrabão."
12981,pérfido,"adj. a) (que mente; falso) mukángányísi, muxísí, muxengi (mu-va). b) (que denota ou envolve perfidia) -á kúyéndlá sviví, -á kubíhá loc. adj."
12982,perfilhar,v. t. kuyamukela taní n'wáná v. t.
12983,perfumado,adj. -á kúnún'hwéla loc. adj.
12984,perfumador,"1. adj. -á kúnún'hwélísa loc. adj., xinun'hwelisi (xi-svi). 2. s. m. (recipiente onde se queimam perfumes) xihísélo xá svínúnʼhwélísi (xi-svi)."
12985,perfumante,"adj. 2 gen. -á kúnún'hwélísa loc. adj., xinun'hwelisi (xi-svi)."
12986,perfumar,"1. v. t. kunun'hwelisa v. caus., kuchela xinun'hwelisi, kutota xinun'hwelisi v. t. 2. v. pron. kutinun'hwélísa, kutiché lá xínún'hwélísi v. pron. kutola xinu-n'hwelisi v. i."
12987,peripécia,"s. m. a) (circunstância acidental, episódio) xihúmélélo, xiyendleko (xi-svi). b) (acontecimento imprevisto; aventura) mavónavóna, mahlorí (ma)."
12988,periquito,"s. m. (ave) hokwé (mu-va), pirikitu (ri-ma). (P)."
12989,peritagem,"s. f. nkámbísíso, nxópáxóρο, nxíyáxíyo, lángútíso (mu-mi)."
12990,perito,"s. m. nsíní (yi-ti), mutshila (mu-va)."
12991,peritoneu,| peritónio s. m. pámbaná (mu-mi).
12992,peritónio,| peritoneu s. m. pámbaná (mu-mi).
12993,perjurar,"v. i. a) (desertar da religião que antes professava) kuduka v. i. b) (renunciar a opinião, princípios, etc.) kusándzá v. i. c) (jurar falso) kuhémbá v. i."
12994,perjuro,adj. & s. m. mudukwá (mu-mi).
12995,permanecer,"v. i. a) (deixar-se estar ou ficar) kutshámá, kusálá v. i. b) (continuar existindo) kusálá v. i. || [permanecer até ao pôr do sol]: kupélísá, kuchónísa v. i. [cf. anoitecer]. || [permanecer, ficar por alguns dias]: kuxwá v. i."
12996,permanência,"s. f. a) (acto de permanecer; demora) kutshámá, kuhlwela (ku), nhlwelo (mu-mi). b) (continuidade) kusíkíséla, kuyá máhlwéni (ku)."
12997,permanente,"adj. 2 gen. a) (que permanece; contínuo, ininterrupto) -á kutshámá, -ngatsémélísíwikí loc. adj. b) (duradouro, durável) -á kutéká nkarhí loc. adj. c) (que tem organização estável) -á kutíyá loc. adj."
12998,permanganato,s. m. (aniodol - preparado farmacêutico empregado como anti-séptico) sifazónke (xi-si). (Z).
12999,permear,"1. v. t. a) (atravessar, trespassar) kutsémákánya, kubóxá, kuphóndlá, kufohla v. t. b) (fazer passar pelo meio) kutlhoma v. t. 2. v. i. (estar de permeio; interpor-se) kukumeka xikarhí v. i., kutíntlho ideo."
13000,permeio,adv. xikarhí adv.
13001,permissão,s. f. mpfumelelo (mu-mi).
13002,permitir,"1. v. t. a) (consentir em) kupfumeta, kutshunxa kuchunsa v. t., kupfumelela v. apl. b) (admitir, tolerar) kupfumela v. t. c) (dar, conceder) kunyíká v. t. 2. v. pron. (tomar a liberdade de) kutinyíká, kutitwísá v. pron."
13003,permuta,"s. f. kucinca; kucincana, kucincelana (ku), ncinco; ncincanu; ncin-celanu (mu-mi). ( ) change."
13004,permutação,"s. f. kucinca; kucincana, kucincelana (ku), ncinco; ncincanu; ncin-celanu (mu-mi). (1) change."
13005,permutar,v. t. kucinca v t; kucincana v. rec.
13006,perna,"s. f. a) nenge (mu-mi) (plural: milenge/minenge). || [barriga da perna]: xidladla, xihlapfa (xi-svi). || [canela da perna]: rihandza rimhandza (ri-ma). || [pernas arqueadas]: (em alicate) marhéngwé (ma); (voltadas para fora) mab'atha, mapetswá (ma). b) (cada uma das partes da calça que corresponde a uma perna) nenge (wá bulúku) (mu-mi) (plural: milenge/ minenge)."
13007,pernada,"s. f. a) (passada larga) gonso (ri-ma). b) (golpe com a perna, em jeito de coice) kudliva (ku), c) (golpe com a perna, pontapé) mutapé (mu-mi). (P) pontapé."
13008,perna-de-pau,"s. 2 gen. (pessoa a quem falta uma perna) xiqhwalá (xi-sui), sitíkinyáwu (mu-va). ( ) stick."
13009,pernaltas,"s. f. pl. a) (espécime dos pernaltas) rixaka rá svá milenge yá kúléha (ri-ti). b) (espécie de abetarda) cócólolwána (mu-mi). c) (espécie de tarámbola, ave pernalta migratória) comélakhwátsi (mu-va). d) (certa ave pernalta carracicida) muthecwána | muthecána (mu-mi)."
13010,pernear,"| espernear v. i. a) (agitar convulsivamente as pernas) kudlákátéla, kuchúkúványa v. i. b) (dar pulos) kutlúlátlúla v. i."
13011,perneta,"1. s. f. (perna pequena) xinengana (xi-svi). 2. s. 2 gen. a) (pessoa a quem falta uma perna) xiqhwalá (xi-svi), sitíkinyáwu (mu-va). ( ) stick. b) (pessoa que tem defeito numa das pernas) n'wáxínéngana (mu-va)."
13012,pernicioso,"adj. -á kubíhá, -á kuwónhá; -á kuvángá khombo loc. adj."
13013,pernoitar,v. i. kuxísá v. i.
13014,pérola,"s. f. nwarhu (yi-ti), pérola (ri-ma). (P)."
13015,perpendicular,1. adj. 2 gen. -á xihíngákányísonéné loc. adj. 2. s. f. (linha perpendicular; qualquer configuração geométrica perpendicular) xihíngákányísonéné (xi-svi).
13016,perpetuidade,"s. f. vukálamákúmu (vu), nkarhí lówungahélikí (mu-mi)."
13017,perpétuo,"adj. -á kukálá mákúmu; -á minkámá hinkwáyu; -ngagámikí, -ngahélikí loc. adj."
13018,perplexidade,"s. f. a) (besitação, dúvida) nkánákánu, nkánákánéko (mu-mi). b) (espanto) nhlámálu (mu-mi), xihlámálu (xi-svi), kuhlámálá (ku)."
13019,perplexo,"adj. a) (indeciso, hesitante) -á kukánákána loc. adj. b) (espantado, admirado) -á kúdzúka, -á kuhlámálísíwa, -á kuhlámálá loc. adj."
13020,persa,"1. adj. 2 gen. (da, ou pertencente ou relativo à antiga Pérsia) -á Pérsiyá loc. adj. 2. s. 2 gen. (o natural ou habitante da Pérsia) mupérsa (mu-va)."
13021,perscrutar,"v. t. (percorrer com o olhar) kurhálárhála, kulangútísísa v. t."
13022,perseguição,"s. f. a) (acto ou efeito de correr atrás de) kuhlóngólísa, kuhlóngólá, kucaca, kucácárhísa (ku). b) (acto ou efeito de atormentar, assediar) kuxánísá, kulandzelela (ku), maxánisa (ma), nxánisa (yi-ti), nxáníso (mu-mi)."
13023,perseguidor,"1. adj. -á kuhlóngólísa; á kuxánísá, -á kúlándzéléla loc. adj. 2. s. m. a) (indivíduo que persegue) muhlóngólísi; kuxánísí, mulandzeleli (mu-va). b) (animal que persegue) xihlóngólísi (xi-svi)."
13024,perseguir,"v. t. a) (correr atrás de) kuhlóngólísa, kuhlóngólá, kucaca, kucácárhísa v. t. b) (atormentar, assediar) kuxánísá, kulandzelela v. t."
13025,perseverança,"s. f. kusíkíséla, kutíyíséla, kukhútálá (ku), kukhó ideo., ntíyísélo, nchívíríko (mu-mi); vulehambilú (vu)."
13026,perseverante,"adj. 2 gen. (pessoa perseverante) -á kusíkíséla, -á kutíyíséla, -á kukhó loc. adj., xijamela (xi-svi)."
13027,perseverar,"v. i. a) kusíkíséla, kutíyíséla, kusímámá, kuthúkúthála, kuphókóphéla | kupfókópféla v. i., kukhó ideo. b) (continuar a, insistir em) kutékísá v. t."
13028,persiano,"1. adj. 2 gen. (da, ou pertencente ou relativo à antiga Pérsia) -á Pérsiyá loc. adj. 2. s. 2 gen. (o natural ou habitante da Pérsia) mupérsa (mu-va)."
13029,pérsico,adj. -á Pérsiyá loc. adj.
13030,pérsio,"1. adj. 2 gen. (da, ou pertencente ou relativo à antiga Pérsia) -á Pérsiyá loc. adj. 2. s. 2 gen. (o natural ou habitante da Pérsia) mupérsa (mu-va)."
13031,persistência,"s. f. kusíkíséla, kutíyíséla, kukhútálá (ku), kukhó ideo., ntíyísélo (mu-mi); vulehambilú (vu)."
13032,persistente,"adj. 2 gen. -á kukálá kuyímá -á kukálá kunyímá, -á kúphíkéléla, á kusímámá, -á kukhó loc. adj."
13033,persistir,"v. i. kuphikelela, kusímámá, kutshámá v. i., kukhó ideo."
13034,personagem,"s. f. & m. a) (pessoa notável, eminente, importante) nkúlúkumba, munhu (mu-va). b) (figura dramática; cada uma das pessoas que figuram em uma narrativa, romance, poema ou acontecimento) murúngúliwá; munhu (mu-va)."
13035,personalidade,"s. f. a) vumunhu (vu), xindzhútí xithúnzhí (xi-svi). b) (individualidade) nkúlúkumba, mudzuneki (mu-va). || [personalidade jurídica]: vutiyíméli máhlwéni ká náwu (vn)."
13036,personificação,"s. f. kumunhuhata (kn), vumunhuhatu (vu)."
13037,personificar,v. t. kumunhuhata v. caus.
13038,perspectiva,"s. f. a) (aparência, aspecto; aspecto sob o qual uma coisa se apresenta) matshamela, matikómbéla, mavónékéla (ma). b) (ponto de vista) mavónéla (ma). c) (expectativa, esperança, probabilidade) xilángútélo (xi-sui), kulángútéla (ku), ntshémbó (mu-mi), tshémba thémba (ri-ma). d) (arte de representar os objectos sobre um plano tais como se apresentam à vista) vutívi bzá kukómbísá svílo hí svifáníso, taní hílaha svívónékáká hákona hí le kule ní le kusúhí (vu). perxpetívha (ri-ma). (P)."
13039,perspectivar,"v. t. (pôr em perspectiva) kululamisa svilo svítákómbísíwa hí svifáníso, taní hílaha svívónékáká hákona hí le kule ní le kusúhí v. t., kuperxpetivhara v. t. (P)."
13040,perspicácia,"s. f. a) (agudeza de espírito) kutlhávúkánya, kutlháríhá, kuxá (ku), vutlhávúkányi, vutlhárí vutlhárhí (vu), dzalakanu (ri-ma). b) (capacidade de notar detalbes) vuxedzí (vu), kuvá ní tihlo (ku)."
13041,perspicaz,"adj. 2 gen. -á kutlhávúkánya, -á kutlháríhá, -á kuxá; -á tihlo loc. adj."
13042,perspirar,"v. i. kunyuka, kubalha v. i."
13043,persuadir,"1. v. t. a) (levar a crer ou a aceitar) kukhólwísá v caus. b) (convencer, induzir) kukókétéla, kukucetela, kuhlohlotela v. t. 2. v. i. (convencer) kukhólwísá v. i. 3. v. pron. a) (convencer-se) kukhólwá v. i., kutikhólwísá v. pron. b) (mostrar-se pronto ou disposto; decidir-se, resolver-se) kutiyímíséla v. pron. c) (estar ciente, tomar conhecimento) kutwísísá v. i."
13044,persuasão,"s. f. kukhólwísá, kun'qenga, kubaba (ku)."
13045,persuasivo,adj. -á kukhólwísá; -á kukhólwíséka loc. adj.
13046,pertença,s. f. xilumbá (xi-svi); vun'winyi (vu).
13047,pertencer,v. i. kulumba v. t.
13048,pertinácia,"s. f. a) (perseverança) kusíkíséla, kutíyíséla, kukhútálá (ku), ntíyísélo (mu-mi); vulehambilú (vu). b) (persistência, teimosia) nkanú, mphiká (yi-ti) nkokorholo, mphikelelo (mu-mi)."
13049,pertinaz,"adj. 2 gen. -á kusíkíséla; -á kuwóméléla, á kusímámá, á kutíyá loc. adj."
13050,pertinência,"s. f. kufánélá, kulávéká (ku), mfánélo (yi-ti), rinkahó, rixaladza (ri-ti), nkarhínene (mu-mi)."
13051,pertinente,"adj. 2 gen. -néné adj., -á kulávéká, -á kufánélá, -á mfánélo, -á nkarhínene loc. adj."
13052,perto,"1. adj. -á kugámákána, -á kúvúndzámána, -á kúvándzákána -á kúb'ándhákána, -á kusúhí loc. adj. || [estar perto um do outro]: kugamakana, kuvandzakana v. i. 2. adv. kusúhí, kudúzi adv. || [muito perto]: kusúhisúhi adv."
13053,perturbação,"s. f. kupfílúngána; kukhúngúványísa, kukhúngúványéka (ku), mpfílúngánu; nkhúngúványéko (mu-mi), gujégujé (ri-ma)."
13054,perturbado,"adj. (enleado, confuso) -á kúdídéka nhloko, -á kupfílúngána; -á kukhúngúványéka loc. adj."
13055,perturbador,"adj. & s. m. -á kumpfílúngánísa; -á kukhúngúványísa loc. adj., mupfílúngánísi; mukhúngúványísi (mu-va)."
13056,perturbante,adj. 2 gen. -á kumpfílúngánísa; -á kukhúngúványísa loc. adj.
13057,perturbar,"1. v. t. kupfílúngánísa | kupfilúngányisa, kukhúngúványísa v caus., kudida nhlókó v. t. 2. v. pron. kupfilúngána, kukhúngúványéka, kudideka nhlóko v. i."
13058,peru,"s. m. garakúnya (ri-ma). (A) kalkoen, perú (ri-ma). (P)."
13059,peruca,"s. f. misísí yá kuvékélá (mi), poxtísa, perúka (ri-ma). (P) postiço."
13060,perversão,"s. f. kuhunguka, kusómbólóka, kuhámbúká (ku), vuhunguki, vusómbólóki, vuhámbúkí (vu)."
13061,perversidade,"s. f. vubíhí (vu), tihányí (ti), vukelemu (vu)."
13062,perverso,"adj. -mfání adj., -á tihányí, -á kubíhá loc. adj., xikelemu (xi-svi)."
13063,perverter,"1. v. t. kusómbólókísa, kuhámbúkísa v. caus. , kuxangisa v caus., kuhungula v. t. 2. v. pron. kusómbólóka, kuhámbúká, kuxanga, kuhunguka v. i."
13064,pervertido,"adj. & s. m. musómbólóki, muhámbúkí, mubíhí (mu-va)."
13065,pesadelo,"s. m. kuhahama (ku), hahamu (mu-mi)."
13066,pesado,"adj. -á kútíka, -á kubíndzá loc. adj. Ex.: saco pesado / Este saco é pesado. saka rá kútíka / Saka leri rátíka. || [qualquer coisa muito pesada]: numbenumbe (mu-mi)."
13067,pesador,"1. adj. -á kúpéza, á kúpíma loc. adj. 2. s. m. a) (pessoa que pesa) mukálí, mupezi, mupimantiko (mu-va). b) (aquilo que serve para pesar ou calcular o peso de algo) xikálú (xi-svi). (1) scale, xipimantiko (xi-svi)."
13068,pêsames,"s. m. pl. kuchávéléla (ku). || [apresentar pêsames]: kuchávéléla, kukhúzá, kukhómá voko v. t. Ex.: Os meus pésames! Dláwáni!."
13069,pesar I,"s. m. nhlomulu (mu-ma); kuvávíséka, kutlhaveka (ku)."
13070,pesar II,"v. t. (avaliar o peso) kupeza v. t. (P), kupima v. t., kukálá v. t. (1) scale."
13071,pesca,"s. f. kutseva (ku), vutshevi (vu). || [pesca com as mãos]: vukónyóngí (vu). || [pesca com lança]: vutshevi, vujóngélí (vu). || [pesca à linha]: vuríngélí (vu). || [pesca com rede]: vukúkútí (vn). || [pesca com arpão]: vunyúpí (vu). || [pesca em água corrente com uma armadilha de vime]: vuchóndzí (vu)."
13072,pescador,"s. m. mutshevi (mu-va). || [pescador que usa as mãos]: mukónyóngí, mutshókóvéti (mu-va). || [pescador que usa rede, linha ou armadilha]: muphásí (mu-va). || [pescador que usa lança]: mutshevi, mujóngélí (mu-va). || [pescador que usa linha]: muríngélí (mu-va). || [pescador que usa rede]: mukúkútí (mu-va). || [pescador que usa arpão]: munyúpí (mu-va)."
13073,pescar,"v. t. kutsheva v. t. || [pescar com as mãos]: kukónyóngá, kutshókóvéta v. t. || [pescar com lança]: kutsheva, kujóngélá v. t. || [pescar à linha]: kuringélá v. t. || [pescar com rede]: kukúkútá v. t. || [pescar com arpão]: kunyúpá v. t. || [pescar levando o peixe a uma barreira de canas atravessada no rio]: kusáyílá v. t. || [pescar em água corrente com uma armadilha de vime]: kuchóndzá v. t."
13074,pescoço,s. m. nhamu (yi-ti).
13075,peso,"s. m. a) (qualidade de um corpo pesado) kutika, kubíndzá (ku), ntiko (mu-mi), pézu (ri-ma). (P). b) (sólido que serve para avaliar na balança o peso de um corpo) pézu (ri-ma). (P). c) (importância, valor) ntikelo (mu-mi). d) (carga, carregamento) ndzhwálúmuthwálú (mu-mi)."
13076,pesquisa,"s. f. kuxópáxópa, kujóndzá, kukámbísísa, kulávísísa, kuxíyá, kuxíyáxíya (ka), nkámbísíso, lávísíso |ndzávisíso (mu-mi)."
13077,pesquisar,"v. t. kuxópáxópa, kujóndzá, kukámbá, kulávísísa, kuxíyá, kuxíyáxíya v. t. || [pesquisar em segredo]: kutsotsa v. t."
13078,pêssego,s. m. peciso (ri-ma). (1) peach.
13079,pessegueiro,s. m. mpeciso (mu-mi). (1) peach.
13080,pessoa,"s. f. a) munhu (mu-va). b) (pessoa considerada como unidade, em um todo) nhlókó (yi-ti). (fig.) [of. cabeça]. || [pessoa bonita]: mbhuri mburhi (yi-ti). || [pessoa crescida mas sem juízo]: makuladzúmbá (mu-va). || [pessoa colectiva]: munhuntlawá (mu-va). || [pessoa singular]: munhuvun'we (mu-va). || [pessoa física]: munhuxiviri (mu-va). || [pessoa importante]: nkúlúwámúnhu (mu-va) (plural: vakúlúvávánhu), xib'ondha (xi-svi). || [pessoa de raça negra]: mulandí, wántima (mu-va). || [pessoa de raça branca]: mulungu, wákúbása (mu-va). || [em pessoa]: há bzá- loc. adv. Ex.: eu em pessoa miná há bzánga, Ex.: tu em pessoa wená há bzáku, Ex.: ele em pessoa yená há bzákwe, Ex.: nós em pessoa hiná há bzérhú, Ex.: vós em pessoa n'winá há bzénú, Ex.: eles em pessoa voná há bzávu."
13081,pessoal,1. adj. a) (relativo ou pertencente a pessoa; concernente ou peculiar a uma só pessoa; individual) -á múnhu; -á múnhu ní múnhu loc. adj. b) (que é de propriedade de uma certa pessoa) -á n'winyi; -á múnhu loc. adj. 2. s. m. (conjunto de pessoas que exercem diferentes funções ou serviços numa empresa) vatirhi (va).
13082,pestana,"s. f. rikohé rihohé (ri-ti), nkohé bohé (yi-ti)."
13083,pestanejar,"v. i. kubzavuta, kukálútá, kutsópétá kucópétá v. i."
13084,peste,"s. f. ntúngú, nghumbe (mu-mi)."
13085,pestilencia,"s. f. a) ningú (mu-mi).sb b) (mau cheiro) ximpúse, xinun'hwá (xi-svi), munun'hwé (mu)."
13086,pestilento,"adj. -á kúnúnʼhwa, -á kúnkáhéla, -á phúnga loc. adj."
13087,pez,s. m. a) (alcatrão) rikatarawu (ri). (P). b) (betume) nhlaká (mu-mi).
